blend_id,category,blend,instruction_count,mean_pairwise_distance,mean_genericness
happy_blend_1,happy,joyful + excited,3,0.0265,0.5523
happy_blend_2,happy,content + cheerful,3,0.0286,0.5888
happy_blend_3,happy,optimistic + hopeful,3,0.0233,0.5793
happy_blend_4,happy,playful + amused,3,0.0253,0.5437
happy_blend_5,happy,interested + curious,3,0.0283,0.5638
happy_blend_6,happy,energetic + cheerful,3,0.026,0.5622
happy_blend_7,happy,creative + playful,3,0.0349,0.5342
happy_blend_8,happy,joyful + energetic,3,0.0251,0.534
happy_blend_9,happy,hopeful + interested,3,0.03,0.5701
happy_blend_10,happy,optimistic + curious,3,0.0346,0.5499
happy_blend_11,happy,cheerful + amused + playful,3,0.0285,0.5437
happy_blend_12,happy,excited + interested + energetic,3,0.0304,0.5597
happy_blend_13,happy,content + hopeful + cheerful,3,0.0351,0.5878
happy_blend_14,happy,creative + curious + optimistic,3,0.0292,0.5195
happy_blend_15,happy,joyful + cheerful,3,0.0747,0.5225
scared_blend_1,scared,anxious + overwhelmed + helpless,3,0.045,0.5587
scared_blend_2,scared,nervous + insecure + embarrassed,3,0.0416,0.5375
scared_blend_3,scared,confused + perplexed + worried,3,0.0468,0.5428
scared_blend_4,scared,overwhelmed + inadequate + discouraged,3,0.0532,0.5539
scared_blend_5,scared,helpless + weak + discouraged,3,0.056,0.5638
scared_blend_6,scared,anxious + worried + nervous,3,0.0432,0.5546
scared_blend_7,scared,bewildered + confused + overwhelmed,3,0.0517,0.5397
scared_blend_8,scared,insecure + inadequate + embarrassed,3,0.0429,0.5241
scared_blend_9,scared,perplexed + helpless + anxious,3,0.0449,0.554
scared_blend_10,scared,worried + overwhelmed + insecure,3,0.0523,0.5552
scared_blend_11,scared,nervous + anxious + embarrassed,3,0.0419,0.5462
scared_blend_12,scared,weak + overwhelmed + discouraged,3,0.0518,0.5757
scared_blend_13,scared,confused + inadequate + helpless,3,0.0429,0.5291
scared_blend_14,scared,bewildered + perplexed + worried,3,0.0298,0.5416
scared_blend_15,scared,insecure + anxious + overwhelmed,3,0.0436,0.547
sad_blend_1,sad,disappointed + miserable,3,0.0426,0.5729
sad_blend_2,sad,lonely + apathetic,3,0.0297,0.5572
sad_blend_3,sad,guilty + remorseful,3,0.0319,0.5328
sad_blend_4,sad,ashamed + embarrassed,3,0.0374,0.5654
sad_blend_5,sad,depressed + bored,3,0.0497,0.5272
sad_blend_6,sad,devastated + lonely,3,0.0325,0.5498
sad_blend_7,sad,disappointed + ashamed,3,0.0596,0.5402
sad_blend_8,sad,miserable + apathetic + indifferent,3,0.023,0.5742
sad_blend_9,sad,guilty + ashamed + remorseful,3,0.0313,0.5353
sad_blend_10,sad,lonely + depressed + bored,3,0.0322,0.5377
sad_blend_11,sad,devastated + guilty,3,0.0306,0.5524
sad_blend_12,sad,disappointed + bored + indifferent,3,0.0454,0.5325
sad_blend_13,sad,ashamed + apathetic,3,0.0483,0.5538
sad_blend_14,sad,miserable + lonely + disappointed,3,0.068,0.5469
sad_blend_15,sad,embarrassed + guilty + remorseful,3,0.0292,0.5643
angry_blend_1,angry,angry + frustrated + stressed,3,0.0251,0.6011
angry_blend_2,angry,irritated + annoyed + distant,3,0.0292,0.5865
angry_blend_3,angry,furious + hurt + sarcastic,3,0.0305,0.5544
angry_blend_4,angry,stressed + frustrated + irritated,3,0.0242,0.5535
angry_blend_5,angry,jealous + annoyed + distant,3,0.0519,0.5741
angry_blend_6,angry,angry + sarcastic + stressed,3,0.0185,0.5861
angry_blend_7,angry,hurt + distant + frustrated,3,0.0354,0.5759
angry_blend_8,angry,furious + stressed + irritated,3,0.0318,0.5485
angry_blend_9,angry,sarcastic + annoyed + frustrated,3,0.0268,0.5276
angry_blend_10,angry,angry + jealous + frustrated,3,0.0273,0.5992
angry_blend_11,angry,distant + stressed + hurt,3,0.0388,0.6078
angry_blend_12,angry,irritated + sarcastic + stressed,3,0.0321,0.5618
angry_blend_13,angry,frustrated + distant + annoyed,3,0.0346,0.5891
angry_blend_14,angry,furious + angry + hurt,3,0.0269,0.5625
angry_blend_15,angry,jealous + stressed + frustrated,3,0.033,0.5949
calm_blend_1,calm,relaxed + secure,3,0.0242,0.6044
calm_blend_2,calm,thankful,3,0.031,0.5779
calm_blend_3,calm,serene + pensive,3,0.0276,0.5476
calm_blend_4,calm,loving + thankful,3,0.0276,0.5778
calm_blend_5,calm,secure + thankful,3,0.0232,0.5973
calm_blend_6,calm,relaxed + pensive,3,0.0185,0.5599
calm_blend_7,calm,serene + secure,3,0.0307,0.586
calm_blend_8,calm,relief + relaxed,3,0.0265,0.5376
calm_blend_9,calm,thankful + loving + secure,3,0.0391,0.5871
calm_blend_10,calm,pensive,3,0.0307,0.5771
calm_blend_11,calm,serene + thankful,3,0.0335,0.5839
calm_blend_12,calm,relaxed + thankful + secure,3,0.0187,0.5968
calm_blend_13,calm,loving + serene,3,0.0487,0.5695
calm_blend_14,calm,pensive + secure,3,0.0284,0.5632
